site_num,date_local,pm_tot,site
124,2007-09-13,5.8,queens
124,2007-09-14,6.2,queens
124,2007-09-15,4.1,queens
124,2007-09-16,3.1,queens
124,2007-09-17,5.5,queens
124,2007-09-18,6,queens
124,2007-09-19,8.5,queens
124,2007-09-22,8.9,queens
124,2007-09-26,19.3,queens
124,2007-09-27,13.3,queens
124,2007-09-28,7.1,queens
124,2007-09-29,4.6,queens
124,2007-09-30,5.2,queens
124,2007-10-01,5,queens
124,2007-10-02,5,queens
124,2007-10-03,6.6,queens
124,2007-10-04,16.6,queens
124,2007-10-05,21.3,queens
124,2007-10-06,21.3,queens
124,2007-10-07,15.4,queens
124,2007-10-08,18.4,queens
124,2007-10-09,12,queens
124,2007-10-10,6.3,queens
124,2007-10-11,5.9,queens
124,2007-10-12,2.8,queens
124,2007-10-13,7.1,queens
124,2007-10-14,6.5,queens
124,2007-10-15,7.7,queens
124,2007-10-16,9,queens
124,2007-10-17,36.7,queens
124,2007-10-18,16.6,queens
124,2007-10-19,5.7,queens
124,2007-10-20,8.7,queens
124,2007-10-21,11.5,queens
124,2007-10-22,12.8,queens
124,2007-10-23,9.3,queens
124,2007-10-24,4.2,queens
124,2007-10-25,3.8,queens
124,2007-10-26,4.6,queens
124,2007-10-27,6.1,queens
