"","date_local","aluminum_pm2_5_lc_88104","arsenic_pm2_5_lc_88103","barium_pm2_5_lc_88107","bromine_pm2_5_lc_88109","cadmium_pm2_5_lc_88110","calcium_pm2_5_lc_88111","chromium_pm2_5_lc_88112","copper_pm2_5_lc_88114","iron_pm2_5_lc_88126","lead_pm2_5_lc_88128","magnesium_pm2_5_lc_88140","manganese_pm2_5_lc_88132","nickel_pm2_5_lc_88136","selenium_pm2_5_lc_88154","silicon_pm2_5_lc_88165","sulfate_pm2_5_lc_88403","sulfur_pm2_5_lc_88169","titanium_pm2_5_lc_88161","total_nitrate_pm2_5_lc_88306","vanadium_pm2_5_lc_88164","zinc_pm2_5_lc_88167"
"106",2002-04-11,0.0137,0.0027,0.015,0.00314,0.002,0.0482,0,0.00235,0.0814,0.002,0.0135,0.0015,0.00755,0.001,0.112,2.94,1.06,0.0059,0.787,0.00155,0.0364
"107",2002-04-14,0,0,0.025,0.00338,0,0.0319,0,0.00122,0.0565,0.0031,0.0232,0.001,0.0123,0.001,0.0573,2.97,1.07,0.0044,2.37,0.00638,0.0166
"108",2002-04-17,0.0281,0.001,0.039,0.0124,0.003,0.107,0,0.011,0.267,0.0096,0.0115,0.0053,0.0229,0.003,0.208,13.7,4.01,0.0144,1.75,0.0154,0.0434
"109",2002-04-20,0.029,0.0025,0.013,0.00202,0,0.067,0.00117,0.0045,0.15,0.0031,0.001,0.00389,0.00957,0.001,0.126,2.85,1.07,0.0095,1.74,0.006,0.0232
"110",2002-04-24,0.031,0.001,0.033,0.00465,0,0.074,0.001,0.00394,0.158,0.0046,0.014,0.00235,0.0181,0.00117,0.142,2.11,0.729,0.0092,1.84,0.00591,0.0372
"111",2002-04-26,0.026,0,0.032,0.00244,0.001,0.035,0,0.00272,0.103,0.0049,0,0.00249,0.0136,0,0.111,2.44,0.865,0.0046,0.946,0.00286,0.0163
"112",2002-04-29,0,0.0014,0.026,0.00094,0,0.0218,0,0.00098,0.041,0.001,0,0,0.00802,0.001,0.0362,2.42,0.822,0.0029,1.05,0.00216,0.0145
"113",2002-05-02,0,0.001,0.032,0.00516,0,0.0761,0,0.0023,0.0739,0.002,0,0.001,0.0118,0,0.0712,5.24,1.83,0.0047,3.94,0.00492,0.0401
"114",2002-05-08,0.018,0,0.027,0.00249,0,0.037,0,0.00291,0.0723,0.002,0,0.00145,0.00498,0,0.072,3.46,1.25,0.0046,0.727,0.00244,0.0188
"115",2002-05-11,0.0204,0,0.0054,0.00274,0,0.0487,0.001,0,0.0752,0.00331,0,0.00224,0.00429,0,0.131,1.62,0.61,0.00618,0.651,0.00372,0.0123
"116",2002-05-14,0.011,0.001,0.029,0.001,0,0.022,0,0.00174,0.0508,0.002,0,0.00206,0.00854,0,0.0343,1.82,0.684,0.0027,0.384,0.00239,0.0188
"117",2002-05-17,0.034,0.0015,0.026,0.00263,0,0.068,0.001,0.00296,0.0685,0.001,0.047,0.00249,0,0,0.115,4.39,0.316,0.0053,0.619,0.00197,0.0112
